sourceID,targetID,edgeType
504,89416,type3
504,506,type4
504,1102364,type4
504,1112650,type4
506,1102364,type2
506,1106546,type3
506,89416,type4
887,20972,type1
887,976334,type1
887,87363,type2
887,1111304,type2
887,38205,type2
887,28456,type2
887,299195,type3
887,1113614,type3
887,10796,type3
887,6215,type3
887,114308,type3
887,19045,type3
887,299197,type3
887,134128,type4
887,595056,type4
887,1112911,type4
887,1105033,type4
887,6213,type4
887,64519,type4
887,17476,type4
887,170798,type4
887,334153,type4
887,161221,type4
887,265203,type4
887,12576,type4
887,6151,type4
887,35490,type4
906,1136397,type2
906,910,type3
906,34355,type3
906,1140040,type4
906,1114352,type4
906,1105344,type4
906,1103979,type4
910,242637,type1
910,675649,type1
910,1110520,type1
910,42847,type1
910,1129111,type1
910,28278,type1
910,131042,type2
910,1105530,type2
910,1120858,type2
910,1108834,type2
910,436796,type2
910,160705,type2
910,1122460,type2
910,576257,type2
910,1126044,type2
910,1152194,type2
910,12946,type3
910,31043,type3
910,1105344,type3
910,1118848,type3
910,755217,type3
910,227286,type3
910,48550,type3
910,67292,type3
910,35905,type3
910,684372,type3
910,13136,type3
910,1104379,type3
910,340078,type3
910,340075,type4
910,1140040,type4
910,5462,type4
910,12439,type4
910,636511,type4
910,34355,type4
910,58552,type4
910,94953,type4
910,1135137,type4
910,1116569,type4
910,5869,type4
910,1114118,type4
936,1956,type1
936,1111899,type2
936,38845,type3
936,3828,type3
936,207395,type3
936,1107010,type3
936,3084,type4
936,129558,type4
940,3828,type2
940,28265,type2
940,20180,type2
941,20180,type1
941,129558,type3
941,28265,type3
941,3828,type4
941,940,type4
943,1152896,type3
943,3828,type4
943,91852,type4
1026,1034,type1
1026,1102550,type2
1026,1153945,type4
1026,1129798,type4
1026,1105231,type4
1033,1034,type1
1033,1107062,type3
1034,1153945,type2
1035,1034,type2
1035,1110515,type3
1035,1107062,type4
1213,1154525,type2
1213,409725,type4
1213,8766,type4
1237,1102400,type2
1237,102938,type3
1237,143676,type4
1237,1106112,type4
1246,1102400,type1
1246,57764,type2
1246,42207,type3
1246,6125,type4
1246,1104007,type4
1272,1123867,type1
1272,85452,type1
1272,1129208,type1
1272,591016,type1
1272,1102625,type2
1272,254923,type2
1272,52835,type2
1272,636098,type2
1272,1108167,type2
1272,6917,type2
1272,112378,type2
1272,18615,type2
1272,20593,type2
1272,30901,type2
1272,65653,type2
1272,1128256,type3
1272,85688,type3
1272,1120962,type3
1272,520471,type3
1272,284414,type3
1272,552469,type3
1272,157805,type4
1272,6923,type4
1272,30895,type4
1272,444240,type4
1272,560936,type4
1272,97892,type4
1272,27230,type4
1272,93923,type4
1272,1135125,type4
1272,1135358,type4
1272,192734,type4
1365,1130600,type1
1365,1136422,type1
1365,1114388,type1
1365,188318,type1
1365,436796,type1
1365,139865,type1
1365,1132968,type1
1365,1128839,type1
1365,1154169,type2
1365,1116347,type2
1365,1114153,type2
1365,1106287,type2
1365,1131748,type2
1365,628500,type2
1365,648232,type2
1365,1110494,type2
1365,950052,type2
1365,85299,type2
1365,83826,type2
1365,188471,type2
1365,22835,type2
1365,23448,type2
1365,1129443,type2
1365,949318,type2
1365,1102407,type2
1365,161221,type2
1365,340299,type2
1365,782486,type3
1365,649731,type3
1365,560936,type3
1365,69392,type3
1365,1114352,type3
1365,853150,type3
1365,1117653,type3
1365,1132922,type3
1365,77758,type3
1365,23507,type3
1365,171225,type3
1365,950305,type3
1365,1110998,type3
1365,340075,type3
1365,237521,type3
1365,1135368,type3
1365,157401,type3
1365,93555,type3
1365,949511,type3
1365,1135137,type3
1365,1113995,type3
1365,7276,type3
1365,39904,type4
1365,1119140,type4
1365,1031453,type4
1365,1108050,type4
1365,1136442,type4
1365,23502,type4
1365,1116594,type4
1365,7297,type4
1365,1120211,type4
1365,49482,type4
1365,1114605,type4
1365,90888,type4
1365,184918,type4
1365,1105062,type4
1365,330148,type4
1365,948299,type4
1365,120084,type4
1365,1152143,type4
1365,26850,type4
1365,1131647,type4
1365,1131745,type4
1365,1120866,type4
1365,562123,type4
1365,1152821,type4
1365,948846,type4
1481,1153891,type1
1481,1114864,type1
1481,521269,type2
1481,1119295,type2
1481,1106052,type3
1481,1120563,type3
1481,200480,type4
1481,1117184,type4
1481,1111614,type4
1481,399173,type4
1481,1108267,type4
1481,521207,type4
1481,4878,type4
1481,1102567,type4
1481,1113934,type4
1481,13960,type4
1688,1694,type1
1688,1136814,type1
1688,1153065,type2
1688,1131360,type2
1688,576725,type2
1688,1134022,type2
1688,647413,type2
1688,694759,type3
1688,69284,type3
1688,152483,type3
1688,1133338,type4
1688,84021,type4
1688,44368,type4
1688,39474,type4
1688,1103985,type4
1694,39474,type1
1717,1115291,type1
1717,1135108,type2
1717,733167,type3
1717,1116336,type3
1717,50381,type4
1786,35797,type1
1817,1114502,type4
1919,1109581,type3
1919,1108389,type4
1949,129042,type3
1949,3101,type4
1951,3095,type3
1952,1949,type2
1952,1107215,type3
1952,3101,type4
1952,1111899,type4
1953,1153166,type1
1953,1949,type2
1953,1153724,type2
1953,1153728,type4
1955,1110390,type2
1955,110163,type3
1955,1125386,type3
1955,1956,type4
1956,1153101,type3
1956,101143,type3
1956,83449,type3
1956,1817,type3
1956,263486,type3
1956,1111899,type4
1956,1118302,type4
1956,1153150,type4
1959,38839,type2
1959,82664,type2
1959,3097,type3
1959,170798,type3
1959,73327,type3
1959,207395,type3
1959,1152896,type4
1959,310530,type4
1959,1153728,type4
1959,101143,type4
1997,1109542,type3
1997,49811,type3
1997,1109439,type3
1997,3233,type3
1997,7032,type3
1997,154982,type3
1997,129897,type4
1997,1108551,type4
1997,1102442,type4
1999,1123068,type2
1999,39126,type2
1999,1131471,type2
1999,6771,type3
1999,1102442,type4
2354,1107140,type1
2354,154134,type2
2354,1130539,type3
2354,1113852,type3
2354,40151,type4
2354,74749,type4
2354,10186,type4
2440,1120650,type1
2440,1106388,type1
2440,591017,type1
2440,151430,type1
2440,49847,type1
2440,591016,type2
2440,1000012,type2
2440,23546,type3
2440,18615,type3
2440,1108551,type3
2440,1127619,type3
2440,1107095,type3
2440,49844,type3
2440,1110426,type3
2440,1114512,type3
2440,1119295,type4
2440,27230,type4
2440,1117786,type4
2440,136766,type4
2440,72908,type4
2440,49811,type4
2440,6917,type4
2440,6923,type4
2440,212777,type4
2440,136768,type4
2440,63931,type4
2440,49843,type4
2440,1153254,type4
2440,582343,type4
2440,1061127,type4
2653,167656,type1
2653,28641,type1
2653,6125,type2
2653,1119751,type2
2653,1104055,type2
2653,350362,type2
2653,102406,type2
2653,59045,type3
2653,65650,type3
2653,1116268,type3
2653,1118764,type3
2653,107177,type4
2653,4660,type4
2653,1116842,type4
2653,175291,type4
2653,1152075,type4
2653,197783,type4
2653,321861,type4
2654,1110438,type1
2654,1104851,type1
2654,211906,type2
2654,1106630,type2
2654,1123926,type2
2654,1107861,type3
2654,52784,type3
2654,197783,type3
2654,1116842,type3
2654,1152075,type3
2654,463825,type4
2654,27250,type4
2654,1121867,type4
2658,751408,type1
2658,696342,type1
2658,99023,type2
2658,1135899,type2
2658,1130676,type2
2658,1115375,type2
2658,1140230,type2
2658,395540,type2
2658,236759,type4
2658,1132948,type4
2658,696346,type4
2658,578347,type4
2658,696345,type4
2658,1131607,type4
2658,282700,type4
2658,230884,type4
2658,1130808,type4
2663,1119671,type4
2665,578337,type1
2665,230884,type1
2665,1122704,type2
2665,395540,type2
2665,578309,type2
2665,237489,type2
2665,1132968,type2
2665,1130808,type3
2665,696345,type3
2665,763009,type3
2665,205192,type3
2665,696346,type3
2665,43639,type3
2665,1132948,type3
2665,99023,type3
2665,630817,type4
2665,1105574,type4
2665,2658,type4
2665,1130676,type4
2665,1132486,type4
2665,582139,type4
2665,1113035,type4
2665,578306,type4
2665,1115375,type4
2665,1131607,type4
2665,578347,type4
2665,751408,type4
2665,631052,type4
2695,1120197,type4
2695,1108169,type4
2695,342802,type4
2695,2698,type4
2696,160705,type1
2696,1133004,type1
2696,1113035,type2
2696,2695,type2
2696,1108169,type2
2696,1114192,type2
2696,2698,type3
2696,1108050,type3
2696,469504,type3
2696,256106,type3
2696,1123239,type3
2696,342802,type3
2696,1120858,type4
2696,5869,type4
2696,1118083,type4
2696,5348,type4
2696,99025,type4
2698,1114192,type1
2698,2695,type2
2698,342802,type4
2698,99025,type4
2698,256106,type4
2702,395553,type1
2702,12330,type3
2702,72056,type3
2702,1120777,type4
3084,33303,type2
3084,1107171,type3
3084,255233,type4
3085,83449,type3
3085,15889,type3
3085,221302,type3
3085,5062,type3
3085,30973,type4
3085,395725,type4
3095,218682,type3
3095,110162,type3
3095,110163,type4
3095,83449,type4
3097,1952,type1
3097,1949,type3
3097,3101,type3
3097,129045,type4
3097,1106236,type4
3101,110164,type1
3101,110163,type2
3101,110162,type3
3101,70441,type4
3112,77829,type1
3112,1949,type2
3112,1152564,type2
3112,77826,type3
3112,110164,type4
3112,103529,type4
3112,110163,type4
3112,470511,type4
3187,129896,type1
3187,280876,type1
3187,5086,type1
3187,1110000,type2
3187,129897,type3
3191,162664,type2
3191,561364,type2
3191,129896,type2
3191,137873,type2
3191,310742,type3
3191,129897,type3
3191,3192,type3
3191,1127530,type3
3191,1106789,type4
3191,1131267,type4
3191,5086,type4
3191,105865,type4
3191,308920,type4
3191,423463,type4
3191,642827,type4
3192,423463,type1
3192,642827,type1
3192,310742,type2
3192,105865,type2
3192,5086,type3
3192,3191,type4
3192,129896,type4
3192,561364,type4
3217,1000012,type3
3217,238099,type3
3217,86840,type3
3217,65653,type3
3217,167670,type4
3218,6767,type1
3218,6639,type1
3218,1106492,type2
3218,66782,type2
3218,1153264,type2
3218,1152290,type2
3218,1120169,type2
3218,1119987,type3
3218,35070,type3
3218,49843,type3
3218,277263,type3
3218,417017,type3
3218,1110426,type3
3218,6941,type4
3218,187354,type4
3220,1132706,type1
3220,1131728,type2
3220,120039,type2
3220,1115677,type2
3220,145215,type2
3220,1125992,type2
3220,1128430,type3
3220,69397,type3
3220,36620,type3
3220,39124,type4
3220,429805,type4
3220,346243,type4
3220,654177,type4
3220,167670,type4
3220,1130634,type4
3220,40922,type4
3220,8832,type4
3222,1114222,type2
3222,1103737,type2
3222,1132157,type3
3222,964248,type3
3222,167656,type3
3222,1131137,type4
3223,1153150,type1
3223,1153101,type3
3223,167670,type4
3223,1132157,type4
3223,167656,type4
3229,16461,type1
3229,949511,type1
3229,189577,type1
3229,82087,type1
3229,1108834,type1
3229,1152673,type1
3229,1130927,type1
3229,948299,type1
3229,1125895,type1
3229,1106568,type2
3229,1109392,type2
3229,133550,type2
3229,27631,type2
3229,48550,type2
3229,72101,type2
3229,1105718,type2
3229,33412,type2
3229,444191,type2
3229,157401,type2
3229,31769,type2
3229,390922,type2
3229,92065,type2
3229,396412,type2
3229,1154169,type2
3229,1130931,type2
3229,118559,type3
3229,35922,type3
3229,1050679,type3
3229,52515,type3
3229,62347,type3
3229,1128839,type3
3229,1132418,type3
3229,100197,type3
3229,1130915,type3
3229,35863,type3
3229,35343,type4
3229,641976,type4
3229,447250,type4
3229,25181,type4
3229,1140289,type4
3229,27174,type4
3229,23502,type4
3229,96335,type4
3229,7022,type4
3229,1131748,type4
3229,1126037,type4
3229,1112767,type4
3229,90888,type4
3229,919885,type4
3229,1108209,type4
3229,1125082,type4
3229,49482,type4
3229,1128868,type4
3229,1103960,type4
3229,83826,type4
3229,1152277,type4
3229,82098,type4
3229,25184,type4
3229,1154251,type4
3229,654326,type4
3229,1131647,type4
3231,1106370,type1
3231,8821,type1
3231,20850,type1
3231,263279,type2
3231,200480,type2
3231,104840,type2
3231,6334,type2
3231,63486,type3
3231,3237,type3
3231,25184,type3
3231,1131471,type3
3231,39124,type3
3231,46431,type3
3231,39126,type3
3231,63477,type3
3231,1106330,type3
3231,167670,type3
3231,8699,type3
3231,328370,type4
3231,49660,type4
3231,1128536,type4
3231,68463,type4
3231,259126,type4
3231,66594,type4
3231,1113926,type4
3231,1102761,type4
3231,1153169,type4
3231,180399,type4
3231,1107067,type4
3231,1115471,type4
3231,636098,type4
3231,1125386,type4
3232,1106330,type2
3232,521251,type3
3232,20850,type3
3232,1128536,type4
3232,20942,type4
3232,1123068,type4
3232,66594,type4
3233,976284,type1
3233,1125467,type2
3233,1114222,type3
3233,66594,type3
3233,192850,type3
3233,272720,type4
3233,1997,type4
3233,509379,type4
3233,1103737,type4
3235,65653,type1
3235,1114222,type2
3236,3237,type2
3236,3233,type2
3236,601561,type2
3236,167670,type4
3236,1125467,type4
3237,964248,type3
3240,1110531,type1
3240,964248,type2
3240,3233,type3
3240,1131137,type3
3240,36620,type4
3240,39130,type4
3243,96335,type1
3243,307336,type1
3243,1104055,type2
3243,1113739,type2
3243,350362,type2
3243,30901,type3
3243,854434,type4
3243,1110947,type4
3243,31932,type4
3243,368431,type4
3243,1103610,type4
3243,30895,type4
3828,310530,type2
3828,207395,type2
3828,1956,type2
3828,1152896,type4
3932,5075,type4
4274,1114664,type4
4274,1119078,type4
4274,1105428,type4
4329,28254,type2
4329,1111304,type3
4329,395547,type3
4329,46468,type3
4329,510718,type4
4329,1110768,type4
4329,105899,type4
4330,390889,type1
4330,46468,type1
4330,1114352,type1
4330,1717,type1
4330,753265,type2
4330,1103737,type2
4330,1132461,type2
4330,949217,type2
4330,12946,type2
4330,1104449,type2
4330,428610,type2
4330,328370,type2
4330,151708,type2
4330,137873,type3
4330,684986,type3
4330,395553,type3
4330,1136393,type3
4330,1136397,type3
4330,119956,type3
4330,69418,type3
4330,32688,type3
4330,120013,type3
4330,37884,type3
4330,11093,type3
4330,118436,type3
4330,1112929,type4
4330,1135108,type4
4330,299197,type4
4330,4329,type4
4330,1152917,type4
4330,1132459,type4
4330,1103676,type4
4330,69392,type4
4330,1109439,type4
4330,168410,type4
4330,35797,type4
4330,1110438,type4
4330,1108834,type4
4335,1717,type1
4335,239800,type2
4335,95718,type2
4335,32698,type2
4335,46468,type2
4335,1104300,type3
4335,390889,type3
4335,755082,type3
4335,1121254,type3
4335,35922,type4
4335,116790,type4
4335,1136397,type4
4335,1136310,type4
4335,1140547,type4
4335,62274,type4
4335,62417,type4
4553,1102548,type3
4584,1116347,type1
4584,36167,type2
4584,6151,type2
4584,1102550,type2
4584,1272,type2
4584,6184,type2
4584,293285,type2
4584,188471,type3
4584,28287,type3
4584,1130567,type3
4584,6213,type3
4584,6196,type3
4584,1128839,type3
4584,193742,type3
4584,1130600,type3
4584,976334,type3
4584,6155,type3
4584,628815,type3
4584,1120020,type4
4584,13885,type4
4584,124064,type4
4584,1031453,type4
4584,168410,type4
4584,132806,type4
4584,13917,type4
4584,628500,type4
4584,1113739,type4
4584,6214,type4
4584,28278,type4
4584,782486,type4
4584,6210,type4
4584,128,type4
4637,164,type4
4649,1105887,type1
4649,434,type1
4649,8703,type1
4649,1127851,type3
4649,411092,type3
4649,449841,type4
4649,6917,type4
4649,135765,type4
4649,135766,type4
4660,582343,type2
4660,5038,type4
4660,429781,type4
4660,18615,type4
4804,164,type1
4804,25805,type1
4804,12182,type1
4804,1108175,type2
4804,45189,type2
4804,102884,type3
4804,77515,type3
4804,1112574,type3
4804,1153262,type4
4804,989397,type4
4804,12210,type4
4804,976284,type4
4804,68505,type4
4804,157761,type4
4878,1102567,type3
4983,7867,type3
5055,1121867,type2
5055,1104851,type2
5055,1107861,type3
5055,167656,type3
5055,1119751,type3
5055,129897,type4
5062,521207,type2
5062,1120563,type2
5062,5064,type3
5062,28026,type3
5062,5069,type4
5064,1120563,type1
5064,272345,type3
5064,385067,type4
5064,1129106,type4
5064,28026,type4
5064,1121176,type4
5064,5069,type4
5069,5064,type3
5069,385067,type4
5069,1120563,type4
5075,5069,type2
5075,1120563,type4
5075,5064,type4
5086,79809,type1
5086,109323,type2
5086,3187,type2
5086,561364,type3
5086,1105698,type3
5086,423463,type3
5086,137849,type4
5086,129896,type4
5086,440815,type4
5086,3191,type4
5086,354004,type4
5194,140569,type2
5194,133550,type2
5194,133566,type3
5194,1152714,type4
5194,133563,type4
5348,256106,type1
5348,2695,type2
5348,99025,type2
5348,911198,type2
5348,1120858,type3
5348,1114192,type3
5348,1123239,type4
5348,1118083,type4
5348,1108050,type4
5348,139547,type4
5348,2696,type4
5348,75695,type4
5348,342802,type4
5348,1132968,type4
5348,1120197,type4
5454,1128425,type2
5454,1105574,type2
5454,1130680,type4
5462,119956,type1
5462,1129111,type3
5462,910,type3
5462,227286,type4
5600,33303,type2
5600,77826,type3
5600,1117833,type3
5600,255233,type4
5600,1022969,type4
5869,1110520,type4
5869,910,type4
5959,152226,type2
5959,545647,type4
5959,582511,type4
5959,1102625,type4
5966,1114502,type1
5966,1102625,type1
5966,68463,type2
5966,1110390,type2
5966,1107861,type3
5966,86840,type4
5966,8699,type4
5966,1106388,type4
6125,27612,type2
6125,1107572,type3
6125,385251,type4
6125,28641,type4
6125,12211,type4
6130,1154124,type1
6130,1154123,type2
6130,1132461,type3
6130,671269,type4
6130,675847,type4
6151,1130567,type2
6151,6214,type2
6151,6152,type3
6151,1385,type3
6151,1106547,type3
6151,1107355,type4
6151,6155,type4
6151,6213,type4
6151,193742,type4
6152,299195,type3
6155,1126029,type4
6163,134128,type2
6163,28202,type2
6163,1106966,type3
6163,1113739,type3
6163,20534,type3
6163,1111052,type4
6163,96847,type4
6163,130,type4
6169,1130567,type3
6169,1106406,type3
6169,1114629,type4
6169,7419,type4
6169,170338,type4
6169,20526,type4
6184,27631,type1
6184,13686,type2
6184,1136422,type3
6184,3229,type4
6184,10981,type4
6184,1105718,type4
6184,399339,type4
6184,1120731,type4
6196,1120731,type3
6196,81350,type3
6196,1153056,type3
6196,58540,type4
6196,976334,type4
6196,28387,type4
6209,181782,type1
6209,212930,type2
6209,95579,type2
6209,118260,type2
6209,8213,type3
6209,118259,type3
6209,8875,type3
6209,1108329,type3
6209,28485,type3
6209,38480,type3
6209,168410,type4
6210,1120731,type3
6213,6220,type1
6213,1130567,type1
6213,1120020,type1
6213,28202,type1
6213,38480,type1
6213,1385,type1
6213,1106966,type1
6213,12576,type2
6213,193742,type2
6213,23774,type2
6213,1117760,type2
6213,6214,type2
6213,124064,type2
6213,1123553,type2
6213,1122425,type2
6213,218410,type2
6213,1111304,type2
6213,299195,type2
6213,353541,type2
6213,628668,type2
6213,6224,type2
6213,91975,type2
6213,293271,type3
6213,13960,type3
6213,1103315,type3
6213,35863,type3
6213,134128,type3
6213,1111052,type3
6213,595056,type3
6213,434,type3
6213,1107355,type3
6213,1106406,type3
6213,28485,type3
6213,672064,type3
6213,58540,type3
6213,6163,type3
6213,6215,type3
6213,6210,type3
6213,241133,type3
6213,1105764,type3
6213,28278,type3
6213,1113182,type3
6213,6184,type3
6213,1113459,type3
6213,1108329,type3
6213,755217,type3
6213,161221,type4
6213,1128267,type4
6213,6151,type4
6213,1117942,type4
6213,28471,type4
6213,13193,type4
6213,1107455,type4
6213,399339,type4
6213,628667,type4
6213,20534,type4
6213,7419,type4
6213,1116347,type4
6213,628815,type4
6213,153598,type4
6213,1109957,type4
6213,6155,type4
6213,10796,type4
6213,128,type4
6213,195361,type4
6213,1106547,type4
6213,20526,type4
6213,17208,type4
6213,1113614,type4
6213,28227,type4
6213,1111230,type4
6213,1129243,type4
6213,55968,type4
6213,1129096,type4
6213,28350,type4
6213,299197,type4
6214,399339,type1
6214,6184,type1
6214,1106172,type1
6214,1105764,type2
6214,23258,type2
6214,188471,type2
6214,28447,type2
6214,6224,type2
6214,1152740,type2
6214,38480,type3
6214,13960,type3
6214,1109199,type3
6214,345340,type3
6214,149669,type3
6214,95589,type3
6214,6155,type3
6214,6215,type3
6214,28278,type3
6214,6196,type3
6214,1130600,type3
6214,97892,type4
6214,124064,type4
6214,6378,type4
6214,1126029,type4
6214,1115886,type4
6214,27631,type4
6214,93320,type4
6214,628500,type4
6215,6224,type3
6215,1120170,type4
6216,1113739,type3
6216,976334,type4
6216,1116347,type4
6216,230300,type4
6216,1123553,type4
6216,96847,type4
6220,6224,type2
6220,134128,type2
6220,6163,type4
6224,345340,type2
6224,28387,type2
6224,6163,type4
6238,84459,type2
6238,1130356,type2
6238,1123991,type2
6238,10793,type2
6311,1115677,type3
6311,235776,type3
6311,1114864,type4
6311,69397,type4
6318,1121057,type2
6318,1108656,type2
6318,20833,type3
6318,1119295,type4
6334,1107067,type1
6334,1116268,type1
6334,3231,type2
6334,1153703,type3
6334,1152307,type3
6334,20850,type3
6334,200480,type3
6334,1152975,type3
6334,68463,type4
6334,1153169,type4
6334,1152448,type4
6334,46431,type4
6334,444240,type4
6343,1125992,type1
6343,359067,type1
6343,521252,type3
6343,200480,type4
6343,141868,type4
6344,1112665,type2
6344,200480,type3
6346,1112075,type2
6346,1106103,type4
6378,1122425,type2
6378,28473,type2
6378,1129208,type3
6385,6378,type2
6385,28473,type2
6385,682666,type2
6385,55968,type3
6385,17476,type3
6385,1103162,type4
6385,892139,type4
6385,1129243,type4
6539,1102646,type4
6639,178209,type1
6639,591017,type3
6639,116084,type4
6639,568045,type4
6741,417017,type3
6741,49895,type3
6741,9708,type4
6741,1153160,type4
6741,348437,type4
6741,1130637,type4
6741,51909,type4
6741,411092,type4
6741,83725,type4
6767,6334,type3
6767,6925,type3
6767,69397,type3
6767,1120444,type3
6767,235776,type3
6767,1114864,type4
6767,1106103,type4
6771,65653,type4
6775,1111240,type2
6775,350319,type4
6782,463825,type3
6782,1123068,type4
6784,560936,type2
6784,350319,type2
6784,60170,type2
6784,35797,type2
6784,6775,type3
6784,100961,type3
6784,1116629,type3
6784,562123,type4
6786,1106789,type3
6786,714975,type4
6814,1117348,type1
6814,390896,type1
6814,445938,type2
6814,293974,type3
6814,300071,type4
6814,1125469,type4
6814,158172,type4
6814,315266,type4
6814,37884,type4
6818,50337,type2
6818,37884,type2
6818,293974,type2
6818,1121254,type2
6818,50336,type3
6818,390896,type4
6818,1105531,type4
6818,1128425,type4
6898,78994,type2
6898,12631,type2
6898,124224,type3
6898,1123188,type3
6898,6910,type4
6898,431206,type4
6910,662416,type2
6910,431206,type2
6910,263553,type3
6910,169279,type3
6910,1123188,type3
6910,1152150,type4
6910,1154103,type4
6910,1132083,type4
6910,1117219,type4
6913,428610,type1
6913,1135108,type2
6913,431206,type2
6913,1116336,type3
6913,4330,type3
6913,1152917,type3
6913,1717,type3
6913,703953,type4
6913,1105011,type4
6913,1131230,type4
6917,449841,type2
6917,1153811,type4
6923,20857,type1
6923,187354,type2
6923,93923,type3
6923,1155073,type3
6923,6941,type3
6923,308003,type4
6925,1118658,type3
6925,372862,type3
6925,57922,type4
6925,57948,type4
6925,1114526,type4
6935,18615,type1
6935,1120650,type2
6935,308003,type2
6935,1106388,type3
6935,1000012,type3
6935,238099,type4
6935,101660,type4
6935,1115670,type4
6939,1116922,type4
6941,372862,type3
7032,1110438,type2
7032,1109439,type3
7032,323128,type3
7032,137873,type4
7032,52847,type4
7041,1120880,type3
7047,14549,type1
7047,1135082,type1
7047,212930,type2
7047,54844,type3
7047,2663,type4
7272,7297,type3
7272,7276,type4
7272,1136446,type4
7272,763181,type4
7276,763181,type3
7296,763181,type2
7297,7276,type2
7297,763181,type3
7297,763010,type3
7419,1109581,type1
7419,1117760,type2
7419,1118245,type3
7419,1107312,type3
7419,1105764,type3
7419,341188,type4
7419,1113182,type4
7430,95586,type2
7430,1153287,type4
7532,7537,type1
7532,141171,type3
7532,80515,type4
7532,1121603,type4
7532,314459,type4
7532,1153097,type4
7537,7532,type1
7537,141171,type2
7537,314459,type2
7537,1113534,type3
7537,1153097,type3
7537,409255,type4
7537,1131348,type4
7867,315789,type4
7867,1138027,type4
8079,1121867,type1
8079,105057,type1
8079,1103737,type2
8079,27250,type3
8079,39124,type4
8079,154982,type4
